Mentor ID,Mentor Name,Actual Experience Years,In-house Employment Confirmed,Employer 1,Role 1,From 1,To 1,Employer 2,Role 2,From 2,To 2,Employer 3,Role 3,From 3,To 3,Notes / Evidence Checked
FCS-M001,Vivaan Srivastava,,,,,,,,,,,,,,,
FCS-M002,Vaishnavi Prasad,,,,,,,,,,,,,,,
FCS-M003,Garima Ahuja,,,,,,,,,,,,,,,
FCS-M004,Charu Rathore,,,,,,,,,,,,,,,
FCS-M005,Akash Das,,,,,,,,,,,,,,,
FCS-M006,Kritika Iyer,,,,,,,,,,,,,,,
FCS-M007,Naina Menon,,,,,,,,,,,,,,,
FCS-M008,Manish Iyer,,,,,,,,,,,,,,,
FCS-M009,Rajat Saini,,,,,,,,,,,,,,,
FCS-M010,Aditi Pandey,,,,,,,,,,,,,,,
FCS-M011,Lavanya Roy,,,,,,,,,,,,,,,
FCS-M012,Vivaan Maheshwari,,,,,,,,,,,,,,,
FCS-M013,Vedant Gupta,,,,,,,,,,,,,,,
FCS-M014,Krishna Saxena,,,,,,,,,,,,,,,
FCS-M015,Aditya Patel,,,,,,,,,,,,,,,
FCS-M016,Piyush Maheshwari,,,,,,,,,,,,,,,
FCS-M017,Laksh Menon,,,,,,,,,,,,,,,
FCS-M018,Garima Wadhwa,,,,,,,,,,,,,,,
FCS-M019,Shubham Singhal,,,,,,,,,,,,,,,
FCS-M020,Ekta Bose,,,,,,,,,,,,,,,
FCS-M021,Siddharth Joshi,,,,,,,,,,,,,,,
FCS-M022,Lavanya Anand,,,,,,,,,,,,,,,
FCS-M023,Yash Jadhav,,,,,,,,,,,,,,,
FCS-M024,Sameer Jain,,,,,,,,,,,,,,,
FCS-M025,Dev Khandelwal,,,,,,,,,,,,,,,
FCS-M026,Aarav Chawla,,,,,,,,,,,,,,,
FCS-M027,Sameer Vyas,,,,,,,,,,,,,,,
FCS-M028,Manish Patil,,,,,,,,,,,,,,,
FCS-M029,Tanvi Iyer,,,,,,,,,,,,,,,
FCS-M030,Aarohi Roy,,,,,,,,,,,,,,,
FCS-M031,Tanvi Choudhary,,,,,,,,,,,,,,,
FCS-M032,Meera Bhardwaj,,,,,,,,,,,,,,,
FCS-M033,Ananya Choudhary,,,,,,,,,,,,,,,
FCS-M034,Vishal Menon,,,,,,,,,,,,,,,
FCS-M035,Tushar Saxena,,,,,,,,,,,,,,,
FCS-M036,Pooja Tiwari,,,,,,,,,,,,,,,
FCS-M037,Diya Narula,,,,,,,,,,,,,,,
FCS-M038,Nikita Reddy,,,,,,,,,,,,,,,
FCS-M039,Yashika Jain,,,,,,,,,,,,,,,
FCS-M040,Ankit Khanna,,,,,,,,,,,,,,,
FCS-M041,Gauri Kohli,,,,,,,,,,,,,,,
FCS-M042,Harsh Anand,,,,,,,,,,,,,,,
FCS-M043,Saurabh Mittal,,,,,,,,,,,,,,,
FCS-M044,Diya Shah,,,,,,,,,,,,,,,
FCS-M045,Vaishnavi Mittal,,,,,,,,,,,,,,,
FCS-M046,Ishita Purohit,,,,,,,,,,,,,,,
FCS-M047,Vedant Pandey,,,,,,,,,,,,,,,
FCS-M048,Kanika Tiwari,,,,,,,,,,,,,,,
FCS-M049,Siddharth Arora,,,,,,,,,,,,,,,
FCS-M050,Shruti Prasad,,,,,,,,,,,,,,,
FCS-M051,Priya Rao,,,,,,,,,,,,,,,
FCS-M052,Kabir Bose,,,,,,,,,,,,,,,
FCS-M053,Siya Mathur,,,,,,,,,,,,,,,
FCS-M054,Shubham Saxena,,,,,,,,,,,,,,,
FCS-M055,Akash Jain,,,,,,,,,,,,,,,
FCS-M056,Aditya Bhardwaj,,,,,,,,,,,,,,,
FCS-M057,Diya Yadav,,,,,,,,,,,,,,,
FCS-M058,Manish Purohit,,,,,,,,,,,,,,,
FCS-M059,Aarohi Yadav,,,,,,,,,,,,,,,
FCS-M060,Khushi Goyal,,,,,,,,,,,,,,,
FCS-M061,Aditi Dutta,,,,,,,,,,,,,,,
FCS-M062,Sameer Arora,,,,,,,,,,,,,,,
FCS-M063,Dhruv Iyer,,,,,,,,,,,,,,,
FCS-M064,Ishita Yadav,,,,,,,,,,,,,,,
FCS-M065,Rohan Vyas,,,,,,,,,,,,,,,
FCS-M066,Pranav Shah,,,,,,,,,,,,,,,
FCS-M067,Harsh Mathur,,,,,,,,,,,,,,,
FCS-M068,Ojasvi Goel,,,,,,,,,,,,,,,
FCS-M069,Vani Saini,,,,,,,,,,,,,,,
FCS-M070,Meera Pawar,,,,,,,,,,,,,,,
FCS-M071,Riya Jadhav,,,,,,,,,,,,,,,
FCS-M072,Mohit Iyer,,,,,,,,,,,,,,,
FCS-M073,Palak Maheshwari,,,,,,,,,,,,,,,
FCS-M074,Tamanna Chawla,,,,,,,,,,,,,,,
FCS-M075,Uday Khandelwal,,,,,,,,,,,,,,,
FCS-M076,Riya Kashyap,,,,,,,,,,,,,,,
FCS-M077,Tarun Jain,,,,,,,,,,,,,,,
FCS-M078,Sameer Roy,,,,,,,,,,,,,,,
FCS-M079,Vaishnavi Roy,,,,,,,,,,,,,,,
FCS-M080,Ananya Bajaj,,,,,,,,,,,,,,,
FCS-M081,Manish Bhardwaj,,,,,,,,,,,,,,,
FCS-M082,Shubham Menon,,,,,,,,,,,,,,,
FCS-M083,Jhanvi Saxena,,,,,,,,,,,,,,,
FCS-M084,Ankit Anand,,,,,,,,,,,,,,,
FCS-M085,Vivaan Bose,,,,,,,,,,,,,,,
FCS-M086,Tarun Saxena,,,,,,,,,,,,,,,
FCS-M087,Upasana Arora,,,,,,,,,,,,,,,
FCS-M088,Aarav Desai,,,,,,,,,,,,,,,
FCS-M089,Diya Mathur,,,,,,,,,,,,,,,
FCS-M090,Parul Desai,,,,,,,,,,,,,,,
FCS-M091,Tarun Bajaj,,,,,,,,,,,,,,,
FCS-M092,Kabir Bhardwaj,,,,,,,,,,,,,,,
FCS-M093,Kritika Narula,,,,,,,,,,,,,,,
FCS-M094,Varun Bajaj,,,,,,,,,,,,,,,
FCS-M095,Tarun Ghosh,,,,,,,,,,,,,,,
FCS-M096,Vaishnavi Khandelwal,,,,,,,,,,,,,,,
FCS-M097,Tarun Reddy,,,,,,,,,,,,,,,
FCS-M098,Rajat Iyer,,,,,,,,,,,,,,,
FCS-M099,Siya Reddy,,,,,,,,,,,,,,,
FCS-M100,Priya Singhal,,,,,,,,,,,,,,,
FCS-M101,Urvashi Patil,,,,,,,,,,,,,,,
FCS-M102,Nikita Joshi,,,,,,,,,,,,,,,
FCS-M103,Pooja Reddy,,,,,,,,,,,,,,,
FCS-M104,Upasana Tiwari,,,,,,,,,,,,,,,
FCS-M105,Manish Goel,,,,,,,,,,,,,,,
FCS-M106,Zoya Prasad,,,,,,,,,,,,,,,
FCS-M107,Ishaan Prasad,,,,,,,,,,,,,,,
FCS-M108,Vani Pandey,,,,,,,,,,,,,,,
FCS-M109,Aditi Desai,,,,,,,,,,,,,,,
FCS-M110,Isha Khandelwal,,,,,,,,,,,,,,,
FCS-M111,Kartik Desai,,,,,,,,,,,,,,,
FCS-M112,Isha Joshi,,,,,,,,,,,,,,,
FCS-M113,Mohit Malhotra,,,,,,,,,,,,,,,
FCS-M114,Ritika Kohli,,,,,,,,,,,,,,,
FCS-M115,Vidhi Bansal,,,,,,,,,,,,,,,
FCS-M116,Sonali Kashyap,,,,,,,,,,,,,,,
FCS-M117,Kanika Khanna,,,,,,,,,,,,,,,
FCS-M118,Aarav Maheshwari,,,,,,,,,,,,,,,
FCS-M119,Rashmi Dubey,,,,,,,,,,,,,,,
FCS-M120,Kanika Khandelwal,,,,,,,,,,,,,,,
FCS-M121,Muskan Pillai,,,,,,,,,,,,,,,
FCS-M122,Mansi Desai,,,,,,,,,,,,,,,
FCS-M123,Mahima Sethi,,,,,,,,,,,,,,,
FCS-M124,Kunal Goel,,,,,,,,,,,,,,,
